"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","1985",1876,
"AUS","HRWKD","TOT","HR_WKD","A","1986",1877,
"AUS","HRWKD","TOT","HR_WKD","A","1987",1889,
"AUS","HRWKD","TOT","HR_WKD","A","1988",1885,
"AUS","HRWKD","TOT","HR_WKD","A","1989",1875,
"AUS","HRWKD","TOT","HR_WKD","A","1990",1853,
"AUS","HRWKD","TOT","HR_WKD","A","1991",1854,
"AUS","HRWKD","TOT","HR_WKD","A","1992",1846,
"AUS","HRWKD","TOT","HR_WKD","A","1993",1856,
"AUS","HRWKD","TOT","HR_WKD","A","1994",1874,
"AUS","HRWKD","TOT","HR_WKD","A","1995",1870,
"AUS","HRWKD","TOT","HR_WKD","A","1996",1862,
"AUS","HRWKD","TOT","HR_WKD","A","1997",1861,
"AUS","HRWKD","TOT","HR_WKD","A","1998",1850,
"AUS","HRWKD","TOT","HR_WKD","A","1999",1856,
"AUS","HRWKD","TOT","HR_WKD","A","2000",1852,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1829,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1818,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1807,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1811,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1808,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1802,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1803,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1799,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1767,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1778,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1774,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1771,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1766,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1755,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1751,
"AUS","HRWKD","TOT","HR_WKD","A","2016",1739,
"AUS","HRWKD","TOT","HR_WKD","A","2017",1738.82731033929,
"AUS","HRWKD","TOT","HR_WKD","A","2018",1733.13997941071,
"AUS","HRWKD","TOT","HR_WKD","A","2019",1722.92546875,
"AUS","HRWKD","TOT","HR_WKD","A","2020",1683.85153828571,
"AUS","HRWKD","TOT","HR_WKD","A","2021",1694.79934307143,
"AUS","HRWKD","TOT","HR_WKD","A","2022",1707.32560860714,
"AUT","HRWKD","TOT","HR_WKD","A","1995",1652.67888458429,
"AUT","HRWKD","TOT","HR_WKD","A","1996",1683.26010868804,
"AUT","HRWKD","TOT","HR_WKD","A","1997",1691.10359580605,
"AUT","HRWKD","TOT","HR_WKD","A","1998",1670.92850257622,
"AUT","HRWKD","TOT","HR_WKD","A","1999",1674.59893743615,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1675.0281729424,
"AUT","HRWKD","TOT","HR_WKD","A","2001",1662.90896591545,
"AUT","HRWKD","TOT","HR_WKD","A","2002",1660.51325661284,
"AUT","HRWKD","TOT","HR_WKD","A","2003",1652.25181466281,
"AUT","HRWKD","TOT","HR_WKD","A","2004",1654.56907923847,
"AUT","HRWKD","TOT","HR_WKD","A","2005",1632.23779813659,
"AUT","HRWKD","TOT","HR_WKD","A","2006",1616.57211717224,
"AUT","HRWKD","TOT","HR_WKD","A","2007",1606.42899648695,
"AUT","HRWKD","TOT","HR_WKD","A","2008",1599.36535464937,
"AUT","HRWKD","TOT","HR_WKD","A","2009",1558.27276846804,
"AUT","HRWKD","TOT","HR_WKD","A","2010",1551.53771934671,
"AUT","HRWKD","TOT","HR_WKD","A","2011",1556.98064579946,
"AUT","HRWKD","TOT","HR_WKD","A","2012",1534.7812249999,
"AUT","HRWKD","TOT","HR_WKD","A","2013",1520.07911905772,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1510.29787103512,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1495.13010654131,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1507.17309625475,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1497.90432512747,
"AUT","HRWKD","TOT","HR_WKD","A","2018",1501.74029951315,
"AUT","HRWKD","TOT","HR_WKD","A","2019",1509.59166042256,
"AUT","HRWKD","TOT","HR_WKD","A","2020",1400.78692305547,
"AUT","HRWKD","TOT","HR_WKD","A","2021",1439.09392041434,
"AUT","HRWKD","TOT","HR_WKD","A","2022",1443.72036929688,
"BEL","HRWKD","TOT","HR_WKD","A","1970",1883.65690998829,
"BEL","HRWKD","TOT","HR_WKD","A","1971",1873.85453227064,
"BEL","HRWKD","TOT","HR_WKD","A","1972",1847.94824830256,
"BEL","HRWKD","TOT","HR_WKD","A","1973",1820.5416003981,
"BEL","HRWKD","TOT","HR_WKD","A","1974",1792.33475839424,
"BEL","HRWKD","TOT","HR_WKD","A","1975",1783.13252625113,
"BEL","HRWKD","TOT","HR_WKD","A","1976",1785.93320559903,
"BEL","HRWKD","TOT","HR_WKD","A","1977",1760.2269701558,
"BEL","HRWKD","TOT","HR_WKD","A","1978",1743.42289406839,
"BEL","HRWKD","TOT","HR_WKD","A","1979",1727.01891503069,
"BEL","HRWKD","TOT","HR_WKD","A","1980",1706.91403828325,
"BEL","HRWKD","TOT","HR_WKD","A","1981",1683.80843366307,
"BEL","HRWKD","TOT","HR_WKD","A","1982",1669.40493987387,
"BEL","HRWKD","TOT","HR_WKD","A","1983",1675.30637135694,
"BEL","HRWKD","TOT","HR_WKD","A","1984",1699.41221860138,
"BEL","HRWKD","TOT","HR_WKD","A","1985",1705.41367434688,
"BEL","HRWKD","TOT","HR_WKD","A","1986",1685.40882186187,
"BEL","HRWKD","TOT","HR_WKD","A","1987",1670.30515823569,
"BEL","HRWKD","TOT","HR_WKD","A","1988",1658.30224674469,
"BEL","HRWKD","TOT","HR_WKD","A","1989",1649.30006312643,
"BEL","HRWKD","TOT","HR_WKD","A","1990",1663.30345986594,
"BEL","HRWKD","TOT","HR_WKD","A","1991",1626.19445850625,
"BEL","HRWKD","TOT","HR_WKD","A","1992",1603.08885388607,
"BEL","HRWKD","TOT","HR_WKD","A","1993",1558.97815415662,
"BEL","HRWKD","TOT","HR_WKD","A","1994",1558.97815415662,
"BEL","HRWKD","TOT","HR_WKD","A","1995",1578.38286106708,
"BEL","HRWKD","TOT","HR_WKD","A","1996",1575.38213319433,
"BEL","HRWKD","TOT","HR_WKD","A","1997",1582.38383156408,
"BEL","HRWKD","TOT","HR_WKD","A","1998",1574.38189057008,
"BEL","HRWKD","TOT","HR_WKD","A","1999",1575.38213319433,
"BEL","HRWKD","TOT","HR_WKD","A","2000",1589.10236756941,
"BEL","HRWKD","TOT","HR_WKD","A","2001",1581.24315890542,
"BEL","HRWKD","TOT","HR_WKD","A","2002",1593.64555143097,
"BEL","HRWKD","TOT","HR_WKD","A","2003",1598.21986767667,
"BEL","HRWKD","TOT","HR_WKD","A","2004",1587.8026490695,
"BEL","HRWKD","TOT","HR_WKD","A","2005",1577.67644856314,
"BEL","HRWKD","TOT","HR_WKD","A","2006",1591.63766372009,
"BEL","HRWKD","TOT","HR_WKD","A","2007",1593.65753175217,
"BEL","HRWKD","TOT","HR_WKD","A","2008",1582.50514357277,
"BEL","HRWKD","TOT","HR_WKD","A","2009",1563.22521392411,
"BEL","HRWKD","TOT","HR_WKD","A","2010",1573.83071067685,
"BEL","HRWKD","TOT","HR_WKD","A","2011",1590.23435097738,
"BEL","HRWKD","TOT","HR_WKD","A","2012",1587.29507479661,
"BEL","HRWKD","TOT","HR_WKD","A","2013",1585.59508664181,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1581.59598872649,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1575.45686873281,
"BEL","HRWKD","TOT","HR_WKD","A","2016",1574.11319301848,
"BEL","HRWKD","TOT","HR_WKD","A","2017",1578.01368853322,
"BEL","HRWKD","TOT","HR_WKD","A","2018",1579.84267657375,
"BEL","HRWKD","TOT","HR_WKD","A","2019",1577.09552214414,
"BEL","HRWKD","TOT","HR_WKD","A","2020",1445.92409611498,
"BEL","HRWKD","TOT","HR_WKD","A","2021",1525.81527730452,
"CAN","HRWKD","TOT","HR_WKD","A","1961",2059,
"CAN","HRWKD","TOT","HR_WKD","A","1962",2058,
"CAN","HRWKD","TOT","HR_WKD","A","1963",2041,
"CAN","HRWKD","TOT","HR_WKD","A","1964",2033,
"CAN","HRWKD","TOT","HR_WKD","A","1965",2016,
