"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","1950",65.2829911844181,
"AUS","WKGPOP","TOT","PC_POP","A","1951",64.7363358941781,
"AUS","WKGPOP","TOT","PC_POP","A","1952",64.263301105772,
"AUS","WKGPOP","TOT","PC_POP","A","1953",63.6484294351866,
"AUS","WKGPOP","TOT","PC_POP","A","1954",63.0868525009737,
"AUS","WKGPOP","TOT","PC_POP","A","1955",62.5781275476374,
"AUS","WKGPOP","TOT","PC_POP","A","1956",62.1898042544162,
"AUS","WKGPOP","TOT","PC_POP","A","1957",61.8866828489036,
"AUS","WKGPOP","TOT","PC_POP","A","1958",61.4992278306104,
"AUS","WKGPOP","TOT","PC_POP","A","1959",61.3609243864604,
"AUS","WKGPOP","TOT","PC_POP","A","1960",61.2798053527981,
"AUS","WKGPOP","TOT","PC_POP","A","1961",61.1769855922042,
"AUS","WKGPOP","TOT","PC_POP","A","1962",61.4130180832671,
"AUS","WKGPOP","TOT","PC_POP","A","1963",61.5289403955294,
"AUS","WKGPOP","TOT","PC_POP","A","1964",61.6574953244138,
"AUS","WKGPOP","TOT","PC_POP","A","1965",61.8522339496865,
"AUS","WKGPOP","TOT","PC_POP","A","1966",62.0158044770558,
"AUS","WKGPOP","TOT","PC_POP","A","1967",62.2440922926351,
"AUS","WKGPOP","TOT","PC_POP","A","1968",62.5234008694577,
"AUS","WKGPOP","TOT","PC_POP","A","1969",62.7069332221263,
"AUS","WKGPOP","TOT","PC_POP","A","1970",62.8268628308045,
"AUS","WKGPOP","TOT","PC_POP","A","1971",62.9788635954042,
"AUS","WKGPOP","TOT","PC_POP","A","1972",63.0850869354488,
"AUS","WKGPOP","TOT","PC_POP","A","1973",63.2608831194373,
"AUS","WKGPOP","TOT","PC_POP","A","1974",63.5241967412666,
"AUS","WKGPOP","TOT","PC_POP","A","1975",63.786123870339,
"AUS","WKGPOP","TOT","PC_POP","A","1976",64.0854258469076,
"AUS","WKGPOP","TOT","PC_POP","A","1977",64.4085067932223,
"AUS","WKGPOP","TOT","PC_POP","A","1978",64.6926041775844,
"AUS","WKGPOP","TOT","PC_POP","A","1979",64.947244468397,
"AUS","WKGPOP","TOT","PC_POP","A","1980",65.1299975311929,
"AUS","WKGPOP","TOT","PC_POP","A","1981",65.2854738173831,
"AUS","WKGPOP","TOT","PC_POP","A","1982",65.465827841183,
"AUS","WKGPOP","TOT","PC_POP","A","1983",65.6557013258607,
"AUS","WKGPOP","TOT","PC_POP","A","1984",65.9191363770253,
"AUS","WKGPOP","TOT","PC_POP","A","1985",66.1358985051727,
"AUS","WKGPOP","TOT","PC_POP","A","1986",66.4033499080742,
"AUS","WKGPOP","TOT","PC_POP","A","1987",66.6338352104794,
"AUS","WKGPOP","TOT","PC_POP","A","1988",66.7895019671956,
"AUS","WKGPOP","TOT","PC_POP","A","1989",66.8652601434388,
"AUS","WKGPOP","TOT","PC_POP","A","1990",66.9010686588463,
"AUS","WKGPOP","TOT","PC_POP","A","1991",66.8118893064097,
"AUS","WKGPOP","TOT","PC_POP","A","1992",66.73122929794,
"AUS","WKGPOP","TOT","PC_POP","A","1993",66.634720378016,
"AUS","WKGPOP","TOT","PC_POP","A","1994",66.5799517316815,
"AUS","WKGPOP","TOT","PC_POP","A","1995",66.5710000209943,
"AUS","WKGPOP","TOT","PC_POP","A","1996",66.601356275227,
"AUS","WKGPOP","TOT","PC_POP","A","1997",66.6428070464169,
"AUS","WKGPOP","TOT","PC_POP","A","1998",66.7069889352642,
"AUS","WKGPOP","TOT","PC_POP","A","1999",66.7680721469782,
"AUS","WKGPOP","TOT","PC_POP","A","2000",66.8523430954823,
"AUS","WKGPOP","TOT","PC_POP","A","2001",66.9032323769899,
"AUS","WKGPOP","TOT","PC_POP","A","2002",67.0161285772249,
"AUS","WKGPOP","TOT","PC_POP","A","2003",67.1361369506626,
